Epoch: [0]  [  530/12690]  eta: 0:34:33  lr: 0.002657  loss: 0.1416 (0.1745)  loss_classifier: 0.0840 (0.1189)  loss_box_reg: 0.0093 (0.0229)  loss_objectness: 0.0012 (0.0036)  loss_rpn_box_reg: 0.0310 (0.0292)  time: 0.1721  data: 0.0028  max mem: 1670
Epoch: [0]  [  540/12690]  eta: 0:34:30  lr: 0.002707  loss: 0.1435 (0.1744)  loss_classifier: 0.0959 (0.1189)  loss_box_reg: 0.0108 (0.0228)  loss_objectness: 0.0008 (0.0035)  loss_rpn_box_reg: 0.0287 (0.0291)  time: 0.1692  data: 0.0027  max mem: 1670
Epoch: [0]  [  550/12690]  eta: 0:34:29  lr: 0.002757  loss: 0.1435 (0.1738)  loss_classifier: 0.0882 (0.1182)  loss_box_reg: 0.0121 (0.0229)  loss_objectness: 0.0010 (0.0035)  loss_rpn_box_reg: 0.0215 (0.0293)  time: 0.1704  data: 0.0028  max mem: 1670
Epoch: [0]  [  560/12690]  eta: 0:34:27  lr: 0.002807  loss: 0.1250 (0.1729)  loss_classifier: 0.0730 (0.1173)  loss_box_reg: 0.0121 (0.0226)  loss_objectness: 0.0017 (0.0035)  loss_rpn_box_reg: 0.0287 (0.0295)  time: 0.1715  data: 0.0028  max mem: 1670
Epoch: [0]  [  570/12690]  eta: 0:34:25  lr: 0.002857  loss: 0.1271 (0.1753)  loss_classifier: 0.0791 (0.1189)  loss_box_reg: 0.0121 (0.0234)  loss_objectness: 0.0021 (0.0036)  loss_rpn_box_reg: 0.0354 (0.0294)  time: 0.1695  data: 0.0028  max mem: 1670
Epoch: [0]  [  580/12690]  eta: 0:34:24  lr: 0.002907  loss: 0.1484 (0.1751)  loss_classifier: 0.0827 (0.1187)  loss_box_reg: 0.0132 (0.0233)  loss_objectness: 0.0021 (0.0036)  loss_rpn_box_reg: 0.0313 (0.0295)  time: 0.1702  data: 0.0028  max mem: 1670
Epoch: [0]  [  590/12690]  eta: 0:34:23  lr: 0.002957  loss: 0.1399 (0.1754)  loss_classifier: 0.1026 (0.1191)  loss_box_reg: 0.0132 (0.0233)  loss_objectness: 0.0014 (0.0036)  loss_rpn_box_reg: 0.0320 (0.0295)  time: 0.1743  data: 0.0029  max mem: 1670
Epoch: [0]  [  600/12690]  eta: 0:34:22  lr: 0.003007  loss: 0.1601 (0.1754)  loss_classifier: 0.1162 (0.1188)  loss_box_reg: 0.0172 (0.0234)  loss_objectness: 0.0015 (0.0037)  loss_rpn_box_reg: 0.0288 (0.0295)  time: 0.1733  data: 0.0029  max mem: 1670
Epoch: [0]  [  610/12690]  eta: 0:34:22  lr: 0.003057  loss: 0.1421 (0.1763)  loss_classifier: 0.0877 (0.1195)  loss_box_reg: 0.0172 (0.0235)  loss_objectness: 0.0017 (0.0037)  loss_rpn_box_reg: 0.0265 (0.0295)  time: 0.1755  data: 0.0029  max mem: 1670
Epoch: [0]  [  620/12690]  eta: 0:34:20  lr: 0.003107  loss: 0.1368 (0.1755)  loss_classifier: 0.0850 (0.1188)  loss_box_reg: 0.0147 (0.0234)  loss_objectness: 0.0009 (0.0037)  loss_rpn_box_reg: 0.0274 (0.0295)  time: 0.1747  data: 0.0028  max mem: 1670
